Student_ID,Age,Gender,Attendance_Percentage,Assignments_Completed,Class_Participation,Midterm_Grade,Final_Grade,Study_Hours_per_Week,Projects_Submitted,Teaching_Clarity,Teaching_Helpfulness,Feedback_Timeliness,Student_Performance,Teaching_Effectiveness
S0001,24,Female,75.95,2,7.94,52.36,33.88,9,1,4.02,2.99,1.65,Good,High
S0002,21,Female,73.96,3,8.84,28.23,40.51,2,5,3.56,2.22,2.67,Average,Moderate
S0003,22,Male,51.28,6,3.45,29.81,23.9,19,3,1.48,4.71,4.33,Good,Moderate
S0004,24,Female,67.06,2,4.62,27.78,62.89,9,0,2.93,3.35,4.95,Good,Moderate
S0005,20,Female,69.01,8,4.15,77.15,64.04,17,0,3.74,2.63,2.27,Poor,High
S0006,25,Male,69.94,7,0.13,65.19,85.05,13,5,4.12,3.6,3.13,Good,High
S0007,22,Other,79.01,3,2.96,83.24,74.09,17,0,1.08,4.07,3.05,Good,Moderate
S0008,22,Female,76.68,0,4.59,97.55,54.26,7,1,4.56,4.84,4.82,Good,Moderate
S0009,24,Other,80.4,0,4.11,47.42,65.36,9,0,3.28,3.0,2.91,Average,Low
S0010,19,Female,88.24,0,7.22,6.67,27.4,12,4,4.25,1.45,3.8,Good,Moderate
S0011,20,Female,90.65,0,3.85,4.81,59.31,7,4,4.23,2.76,4.69,Average,Moderate
S0012,24,Male,85.91,7,4.89,29.57,48.92,3,0,1.76,2.92,2.49,Excellent,High
S0013,20,Other,97.78,2,4.3,93.25,13.33,3,5,1.44,4.59,4.61,Good,High
S0014,20,Female,50.91,5,7.41,52.32,24.25,4,4,3.89,2.58,4.67,Good,Moderate
S0015,25,Male,59.79,2,8.63,27.18,29.17,0,3,1.63,4.81,4.72,Average,Low
S0016,22,Male,50.38,10,5.32,39.92,92.43,16,4,4.4,2.94,2.08,Average,Moderate
S0017,21,Male,82.37,4,7.89,59.86,23.04,1,0,3.9,4.9,2.6,Average,Moderate
S0018,25,Female,94.9,6,2.97,65.29,28.92,7,5,4.37,1.03,4.48,Average,Low
