Age,Gender,Country,Study_Hours_Per_Week,Sleep_Hours_Per_Day,Screen_Time_Hours_Per_Day,Attendance_Percentage,Family_Income_Level,Stress_Level,Mental_Health_Score,Final_Exam_Score,Pass_Fail
21,Male,India,12,8.0,2.5,68,Medium,7,88,25.0,Fail
18,Male,India,17,5.4,2.3,72,Low,3,25,27.0,Fail
22,Female,Germany,12,5.1,9.8,68,Low,3,79,39.0,Fail
19,Female,India,27,8.8,7.8,74,Low,10,90,44.0,Fail
21,Male,India,47,4.0,9.7,65,Low,9,72,66.0,Pass
24,Female,Germany,5,9.0,5.0,58,Medium,8,51,7.0,Fail
17,Female,UK,49,7.4,3.5,50,Medium,5,88,71.0,Pass
21,Female,Pakistan,28,8.1,8.2,91,High,6,48,49.0,Fail
22,Female,France,39,5.5,3.9,68,Low,10,70,58.0,Pass
19,Female,USA,28,4.1,3.7,82,Medium,1,99,38.0,Fail
18,Male,Canada,21,7.7,3.1,83,Medium,10,65,31.0,Fail
22,Female,USA,9,8.2,2.2,65,Medium,1,60,46.0,Fail
22,Male,USA,24,7.7,3.3,93,Low,4,46,43.0,Fail
17,Female,Australia,25,4.7,4.2,89,High,2,36,48.0,Fail
20,Male,Pakistan,44,7.8,7.1,67,Medium,7,58,58.0,Pass
19,Female,Australia,35,7.8,1.6,83,Low,2,76,52.0,Pass
16,Male,Pakistan,40,7.3,2.9,74,Medium,10,38,33.0,Fail
22,Female,Germany,15,7.8,8.3,94,Medium,2,11,41.0,Fail
20,Male,Germany,19,8.2,2.3,55,High,5,12,33.0,Fail
16,Female,France,23,7.1,4.1,70,Medium,4,42,42.0,Fail
19,Male,Pakistan,11,4.4,8.8,55,Medium,8,39,16.0,Fail
15,Female,India,32,6.4,2.4,81,Low,4,71,57.0,Pass
24,Male,UK,47,4.4,1.7,90,Low,6,11,85.0,Pass
20,Male,France,9,6.0,5.4,97,High,5,36,30.0,Fail
23,Female,France,9,6.0,3.7,92,Low,2,52,30.0,Fail
15,Female,India,34,4.3,6.1,88,Low,8,31,52.0,Pass
24,Male,UK,36,5.7,8.2,80,High,2,33,70.0,Pass
17,Female,Australia,12,4.6,2.2,91,Medium,9,13,42.0,Fail
21,Male,UK,14,8.0,6.2,59,High,9,18,15.0,Fail
18,Male,Australia,42,8.7,5.5,79,Low,3,41,71.0,Pass
23,Male,Germany,36,4.4,2.3,67,High,4,58,61.0,Pass
17,Female,USA,32,8.8,6.6,73,Medium,8,56,38.0,Fail
19,Male,Germany,21,6.6,3.5,58,High,9,24,29.0,Fail
17,Male,Germany,35,5.5,5.4,80,Low,3,73,47.0,Fail
21,Female,USA,12,4.4,1.7,64,Low,5,31,8.0,Fail
19,Female,UK,44,6.5,5.1,53,High,8,55,60.0,Pass
23,Female,France,29,8.0,3.8,89,Medium,3,10,53.0,Pass
21,Female,UK,13,7.5,8.4,58,High,7,60,25.0,Fail
16,Male,Australia,6,4.3,1.5,94,Medium,8,2,23.0,Fail
18,Male,India,19,4.4,4.8,58,Medium,10,15,15.0,Fail
23,Male,Australia,7,6.0,5.1,75,High,3,3,26.0,Fail
16,Male,India,40,5.5,7.5,53,Medium,2,43,49.0,Fail
24,Female,Germany,8,5.2,6.2,66,Low,10,31,28.0,Fail
23,Male,USA,18,5.4,7.0,65,High,7,70,17.0,Fail
24,Male,Germany,45,8.0,8.0,64,Medium,9,67,58.0,Pass
19,Female,Pakistan,45,8.6,8.8,84,Low,1,56,67.0,Pass
16,Male,UK,29,6.0,3.8,54,High,3,63,52.0,Pass
18,Male,India,14,8.5,5.8,54,Low,5,75,22.0,Fail
